[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
main  cb_frozen        2:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ♻ 复用
aug   _base            0:0     （基线臂）                          ♻ 复用
aug   _base            0:1     （基线臂）                          ▶ 新跑
aug   _base            0:2     （基线臂）                          ▶ 新跑
aug   _base            1:0     （基线臂）                          ▶ 新跑
aug   _base            1:1     （基线臂）                          ♻ 复用
aug   _base            1:2     （基线臂）                          ▶ 新跑
aug   _base            2:0     （基线臂）                          ▶ 新跑
aug   _base            2:1     （基线臂）                          ▶ 新跑
aug   _base            2:2     （基线臂）                          ♻ 复用
aug   dfg_dep          0:0     --drop-edges 3                 ♻ 复用
aug   dfg_dep          0:1     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          0:2     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          1:0     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          1:1     --drop-edges 3                 ♻ 复用
aug   dfg_dep          1:2     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          2:0     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          2:1     --drop-edges 3                 ▶ 新跑
aug   dfg_dep          2:2     --drop-edges 3                 ♻ 复用
aug   cfg_flow         0:0     --drop-edges 0                 ♻ 复用
aug   cfg_flow         0:1     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         0:2     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         1:0     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         1:1     --drop-edges 0                 ♻ 复用
aug   cfg_flow         1:2     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         2:0     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         2:1     --drop-edges 0                 ▶ 新跑
aug   cfg_flow         2:2     --drop-edges 0                 ♻ 复用
aug   ast_parent       0:0     --drop-ast                     ♻ 复用
aug   ast_parent       0:1     --drop-ast                     ▶ 新跑
aug   ast_parent       0:2     --drop-ast                     ▶ 新跑
aug   ast_parent       1:0     --drop-ast                     ▶ 新跑
aug   ast_parent       1:1     --drop-ast                     ♻ 复用
aug   ast_parent       1:2     --drop-ast                     ▶ 新跑
aug   ast_parent       2:0     --drop-ast                     ▶ 新跑
aug   ast_parent       2:1     --drop-ast                     ▶ 新跑
aug   ast_parent       2:2     --drop-ast                     ♻ 复用
aug   callback_risk    0:0     --drop-edges 4                 ♻ 复用
aug   callback_risk    0:1     --drop-edges 4                 ▶ 新跑
aug   callback_risk    0:2     --drop-edges 4                 ▶ 新跑
aug   callback_risk    1:0     --drop-edges 4                 ▶ 新跑
aug   callback_risk    1:1     --drop-edges 4                 ♻ 复用
aug   callback_risk    1:2     --drop-edges 4                 ▶ 新跑
aug   callback_risk    2:0     --drop-edges 4                 ▶ 新跑
aug   callback_risk    2:1     --drop-edges 4                 ▶ 新跑
aug   callback_risk    2:2     --drop-edges 4                 ♻ 复用
aug   cb_node_only     0:0     --cb-channels cb_node          ♻ 复用
aug   cb_node_only     0:1     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     0:2     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     1:0     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     1:1     --cb-channels cb_node          ♻ 复用
aug   cb_node_only     1:2     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     2:0     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     2:1     --cb-channels cb_node          ▶ 新跑
aug   cb_node_only     2:2     --cb-channels cb_node          ♻ 复用
aug   cb_func_only     0:0     --cb-channels cb_func          ♻ 复用
aug   cb_func_only     0:1     --cb-channels cb_func          ▶ 新跑
aug   cb_func_only     0:2     --cb-channels cb_func          ▶ 新跑
aug   cb_func_only     1:0     --cb-channels cb_func          ▶ 新跑
aug   cb_func_only     1:1     --cb-channels cb_func          ♻ 复用
aug   cb_func_only     1:2     --cb-channels cb_func          ▶ 新跑
aug   cb_func_only     2:0     --cb-channels cb_func          ▶ 新跑
